City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,jaicos,-7.3592,-41.1378,32.86,32,70,3.55,BR,1727727491
84,carnarvon,-24.8667,113.6333,19.12,74,0,6.21,AU,1727727492
85,avarua,-21.2078,-159.775,24.03,69,100,3.09,CK,1727727493
86,illapel,-31.6308,-71.1653,17.39,50,79,5.18,CL,1727727371
87,lydenburg,-25.0978,30.4597,11.69,33,0,0.89,ZA,1727727496
88,ebon,4.582,168.6964,28.66,72,94,6.12,MH,1727727498
89,san patricio,28.017,-97.5169,32.97,30,0,2.47,US,1727727499
90,mazamari,-11.3258,-74.5308,30.88,48,83,1.09,PE,1727727501
91,nantucket,41.2835,-70.0995,19.06,59,0,4.12,US,1727727502
92,roma,43.2128,-75.4557,23.53,62,0,2.57,US,1727727241
93,sigayevo,56.4216,53.7757,12.11,48,64,3.26,RU,1727727505
94,la sarre,48.8002,-79.1996,17.92,51,0,3.38,CA,1727727506
95,edinburgh of the seven seas,-37.0676,-12.3116,13.23,86,10,6.66,SH,1727727508
96,wailua homesteads,22.0669,-159.378,26.44,82,75,4.12,US,1727727509
97,esquina,-30.0144,-59.5272,40.31,20,0,5.62,AR,1727727511
98,klyuchi,52.2667,79.1667,12.87,49,24,3.21,RU,1727727512
99,arraial do cabo,-22.9661,-42.0278,23.98,78,0,11.83,BR,1727727514
100,bilibino,68.0546,166.4372,-2.77,96,100,1.16,RU,1727727368
101,tsiombe,-25.3,45.4833,23.75,73,96,1.81,MG,1727727516
102,sibu,2.3,111.8167,24.17,100,40,1.03,MY,1727727519
103,jamestown,42.097,-79.2353,21.68,77,100,2.57,US,1727727427
104,bubaque,11.2833,-15.8333,27.69,76,65,3.78,GW,1727727522
105,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,61,75,2.0,RU,1727727523
106,invercargill,-46.4,168.35,10.01,83,100,1.79,NZ,1727727525
107,coahuayana de hidalgo,18.7,-103.6583,28.79,79,83,2.22,MX,1727727526
108,punta arenas,-53.15,-70.9167,4.06,87,100,11.32,CL,1727727230
109,pangkalanbuun,-2.6833,111.6167,23.33,99,100,0.54,ID,1727727529
110,bucerias,20.75,-105.3333,29.99,74,75,3.09,MX,1727727511
111,palmares do sul,-30.2578,-50.5097,25.06,65,58,4.85,BR,1727727532
112,okhotsk,59.3833,143.3,4.36,47,100,0.75,RU,1727727533
113,margate,51.3813,1.3862,13.82,81,84,0.45,GB,1727727257
